GEOID,mail,youth,adult,latinx
6037273402,,9.571400342,5.873071939,5.620776894
6037273502,,13.39415123,6.536490471,5.983392103
6037241300,,11.5925,5.607002801,8.145367412
6037267200,,4.458570208,6.387560689,6.999364338
6037267100,,7.63657323,5.89773973,6.522915335
6037267902,,5.993865031,6.861018993,7.304452146
6037265201,,10.34621784,3.438865747,6.312597282
6037265202,,9.553153966,4.918530775,7.59513828
6037189101,,7.698478861,9.87314031,9.137315215
6037265510,,9.753543556,6.161219466,7.145541423
6037265520,,10.54303946,5.451126952,5.946534913
6037267300,,6.281886374,5.690486202,5.535234611
6037267700,,4.640504049,6.639331642,6.167544667
6037207710,,10.04837969,7.978553078,7.142864111
6037207900,,15.09922129,4.23522409,3.746303259
6037269500,,4.307259613,7.58693398,8.661406951
6037269700,,4.699705577,5.826303512,5.714574717
6037269800,,6.125958727,7.701916152,7.215348999
6037267402,,12.79892276,5.599605079,5.730507253
6037267404,,9.195626279,6.844574962,6.52726969
6037267501,,6.515983075,6.57064695,6.70713388
6037267502,,7.382877297,5.88075677,5.851710562
6037267600,,4.411167389,3.83923497,3.70801989
6037262303,,2.621698881,7.057284774,8.832917175
6037264000,,2.799304244,7.170209444,7.845116296
6037264102,,5.542157514,5.33986689,5.845187138
6037264103,,5.872828382,7.208999606,6.902597199
6037237600,,7.488924358,6.366724563,9.449685954
6037237710,,12.81035672,4.851876326,6.920342002
6037264301,,5.149508329,7.168470599,6.903396297
6037276100,,8.298349795,5.945846711,6.560014173
6037291130,,7.016898016,11.26515183,14.31974484
6037291210,,10.4478267,5.878983735,7.728203416
